Precipitacion_mm,ONI,Radiacion_Solar,Humedad_Relativa,Temp_Min_C,Mes,Velocidad_Viento,irca,VolumenUtilDiarioMasa
10.0,0.58,16.67,90.14,9.31,11,0.68,0,0
2.59,0.63,16.7,88.65,9.68,12,0.87,0,0
0.94,0.78,19.04,86.58,5.26,1,1.1,0,0
3.92,0.52,20.31,84.88,5.14,2,1.17,0,0
3.92,0.58,17.52,85.82,6.06,3,0.82,0,0
6.1,0.48,16.21,86.71,8.62,4,0.9,0,0
6.51,-0.16,15.35,87.93,9.09,5,1.13,0,0
13.84,-0.28,15.9,88.05,8.04,6,1.23,0,0
8.9,-0.25,15.32,87.61,7.81,7,1.19,0,0
4.83,-0.54,15.48,86.28,7.1,8,1.05,0,0
5.55,-0.79,17.09,85.15,7.92,9,0.98,0,0
1.65,-1.2,16.8,83.78,7.12,10,0.99,0,0
1.66,-1.36,15.77,87.07,9.63,11,0.48,0,0
2.82,-1.05,17.8,85.69,7.23,12,0.73,0,0
2.96,-0.82,18.94,84.68,5.98,1,0.96,0,0
3.43,-0.85,17.03,85.95,8.82,2,0.83,0,0
3.49,-0.69,14.73,86.32,8.62,3,0.77,0,0
4.89,-0.6,16.76,86.45,8.73,4,1.0,0,0
0.07,-0.35,15.67,86.09,8.46,5,1.12,0,0
2.6,-0.22,16.14,85.11,7.08,6,1.23,0,0
0.48,-0.34,15.22,82.81,7.09,7,1.6,0,0
0.48,-0.48,15.74,79.13,7.93,8,1.26,0,0
2.34,-0.52,16.77,78.41,7.52,9,1.27,0,0
2.43,-0.89,16.9,82.12,9.04,10,0.85,0,0
1.95,-0.89,17.98,82.17,9.2,11,0.76,0,0
1.54,-0.96,17.43,83.2,9.24,12,0.81,0,0
1.15,-0.77,18.12,78.01,8.36,1,0.88,0,0
3.99,-0.74,15.71,81.75,8.09,2,0.82,0,0
5.57,-0.87,16.2,86.61,9.28,3,0.79,0,0
9.29,-0.99,14.92,86.6,8.09,4,0.92,0,0
13.38,-1.0,15.73,88.29,8.25,5,1.04,0,0
8.79,-0.69,15.09,88.37,7.77,6,0.92,0,0
9.73,-0.65,15.76,87.9,7.75,7,1.19,0,0
6.83,-0.93,16.14,86.77,6.99,8,1.17,0,0
6.03,-1.03,16.38,85.53,8.07,9,0.98,0,0
8.15,-0.94,16.42,87.33,7.69,10,0.75,0,0
6.2,-0.85,14.95,90.0,9.97,11,0.54,0,0
2.47,-0.75,18.3,87.0,6.57,12,0.76,0,0
6.35,-0.55,17.13,87.54,4.61,1,0.81,0,0
1.45,-0.31,19.16,85.43,5.59,2,1.08,0,0
4.53,-0.01,14.82,87.92,9.57,3,0.72,0,0
7.98,0.25,14.43,88.52,9.02,4,0.81,0,0
9.41,0.57,16.56,88.07,9.23,5,1.07,0,0
7.57,0.89,16.33,87.92,7.27,6,1.52,0,0
6.88,1.07,15.62,88.22,8.28,7,1.63,0,0
5.49,1.39,17.36,85.64,6.99,8,1.37,0,0
5.77,1.64,17.38,85.29,8.44,9,1.24,0,0
7.41,1.77,17.15,85.82,8.19,10,0.77,0,0
5.84,2.08,16.83,87.27,9.69,11,0.9,0,0
5.16,2.13,16.66,88.87,8.89,12,0.85,0,0
0.23,1.98,21.32,83.31,7.01,1,1.24,0,0
1.8,1.67,17.32,84.74,9.24,2,1.02,0,0
2.98,1.22,16.36,83.94,9.01,3,1.05,0,0
6.45,0.89,16.31,84.91,8.51,4,1.0,0,0
12.67,0.34,15.42,88.54,10.17,5,1.09,0,0
8.46,0.23,15.61,88.68,8.08,6,1.16,0,0
5.13,0.09,15.39,88.5,6.9,7,1.45,0,0
2.71,-0.07,17.08,85.31,7.23,8,1.32,0,0
3.29,-0.22,16.4,84.43,7.85,9,1.31,0,0
7.14,-0.22,18.16,85.91,7.66,10,1.05,0,0
7.64,-0.19,14.64,89.14,7.29,11,0.69,0,0
4.91,-0.49,16.52,88.44,8.15,12,0.76,0,0
2.71,-0.56,18.69,86.14,6.5,1,1.07,1,0
2.72,-0.28,15.67,87.53,9.14,2,0.86,1,1
7.84,0.11,15.65,88.37,8.46,3,0.81,1,1
18.19,-0.02,15.88,88.9,8.05,4,0.91,1,1
10.84,-0.02,15.28,90.22,9.55,5,1.18,1,1
12.39,-0.01,14.84,89.65,7.23,6,1.36,1,1
5.07,-0.1,15.3,88.82,7.89,7,1.55,1,1
6.64,-0.32,16.45,88.21,8.1,8,1.41,1,1
4.52,-0.43,16.52,87.19,8.4,9,1.36,1,1
7.09,-0.45,15.33,88.6,7.85,10,0.93,1,1
3.96,-0.64,15.21,88.54,9.03,11,0.87,1,1
1.95,-0.57,16.92,88.09,6.82,12,0.74,1,1
